,125,250,375,500,625,750
n07745940,0.0,0.0,0.14285714285714285,0.22857142857142856,0.17142857142857143,0.5142857142857142
n02797295,0.0,0.0,0.0,0.0,0.0,0.0
n04204347,0.0,0.0,0.0,0.0,0.0,0.0
n04465501,0.0,0.0,0.0,0.0,0.047619047619047616,0.14285714285714285
n07753113,0.0,0.0,0.0,0.0,0.0,0.0
n07753275,0.0,0.0,0.0,0.0,0.0,0.18604651162790697
n13133613,0.0,0.0,0.0,0.0,0.0,0.0
n03372029,0.0,0.0,0.0,0.0,0.0,0.0
n03481172,0.0,0.0,0.0,0.0,0.0,0.0
n02951585,0.0,0.0,0.0,0.0,0.0,0.0
n04208210,0.0,0.0,0.0,0.0,0.0,0.0
n01514859,0.0,0.0,0.0,0.0,0.0,0.0
n01608432,0.0,0.0,0.0,0.0,0.0,0.0
n01855672,0.0,0.0,0.0,0.0,0.0,0.16279069767441862
n02007558,0.0,0.0,0.0,0.0,0.0,0.0
